C_id,P_id,W_id,Platform,OrderDate,year,quantity
10116,400512,21450,Flipkart,02-11-2014,2014,2
10117,400513,21455,Flipkart,10-07-2011,2011,1
10118,400514,21456,Flipkart,05-02-2010,2010,1
10119,400515,22222,Snapdeal,06-02-2015,2015,1
10120,400516,22229,Snapdeal,01-01-2017,2017,1
10121,400517,22232,Snapdeal,05-01-2017,2017,1
10122,400518,12237,Snapdeal,03-12-2014,2014,1
10123,400519,22249,Snapdeal,02-11-2014,2014,1
10124,400520,22253,Snapdeal,08-01-2014,2014,1
10125,400521,22256,Snapdeal,03-05-2015,2015,1
10126,400522,22260,Snapdeal,11-12-2014,2014,2
10127,400523,20512,Snapdeal,03-04-2011,2011,1
10128,400524,20695,Snapdeal,09-05-2016,2016,2
10129,400525,20826,Snapdeal,12-08-2015,2015,3
10130,400526,20836,Snapdeal,09-05-2012,2012,3
10131,400527,20900,Snapdeal,03-04-2013,2013,3
10132,400528,20901,Snapdeal,08-12-2010,2010,4
10133,400529,20992,Snapdeal,05-05-2010,2010,1
10134,400530,21041,Amazon,03-05-2012,2012,2
10135,400531,21069,Amazon,10-09-2012,2012,1
10136,400532,21136,Amazon,03-11-2017,2017,1
10137,400533,21149,Snapdeal,04-08-2010,2010,1
10138,400534,21192,Snapdeal,11-04-2016,2016,1
10139,400535,21193,Snapdeal,01-03-2010,2010,1
10140,400536,21203,Flipkart,05-09-2017,2017,1
10141,400537,21207,Flipkart,01-04-2014,2014,1
10142,400538,21254,Flipkart,10-01-2016,2016,1
10143,400539,21259,Flipkart,07-07-2012,2012,2
10144,400540,21265,Flipkart,09-05-2014,2014,2
10145,400541,21380,Flipkart,02-10-2011,2011,1
10146,400542,21386,Flipkart,12-08-2010,2010,1
10147,400543,21390,Flipkart,05-08-2016,2016,1
10148,400544,21450,Flipkart,12-04-2012,2012,1
10149,400545,21455,Flipkart,01-04-2010,2010,1
10150,400546,21456,Snapdeal,05-01-2013,2013,1
10151,400547,22222,Snapdeal,10-02-2010,2010,3
10152,400548,22229,Snapdeal,08-06-2016,2016,4
10153,400549,22232,Amazon,11-05-2014,2014,2
10154,400550,12237,Amazon,11-06-2015,2015,1
10155,400551,22249,Amazon,10-01-2012,2012,2
10156,400552,21193,Amazon,05-11-2011,2011,3
10157,400553,21203,Amazon,10-09-2013,2013,4
10158,400554,21207,Amazon,01-12-2013,2013,1
10159,400555,21254,Amazon,08-03-2011,2011,1
10160,400556,20901,Amazon,04-04-2016,2016,1
10161,400557,20992,Flipkart,04-10-2014,2014,1
10162,400558,21041,Flipkart,10-01-2015,2015,1
10163,400559,21069,Snapdeal,03-02-2015,2015,1
10164,400560,21136,Amazon,05-03-2012,2012,1
10165,400561,21149,Snapdeal,10-02-2016,2016,1
10166,400562,21192,Snapdeal,07-07-2016,2016,1
10167,400563,21193,Snapdeal,01-04-2014,2014,1
10168,400564,21203,Snapdeal,02-10-2017,2017,1
10169,400565,21207,Amazon,04-04-2011,2011,1
10170,400566,21254,Amazon,07-06-2014,2014,1
10171,400567,21259,Amazon,10-04-2014,2014,1
10172,400568,21265,Amazon,12-07-2012,2012,1
10173,400569,21380,Amazon,02-06-2015,2015,1
10174,400570,21386,Amazon,10-12-2014,2014,1
10175,400571,21390,Amazon,11-08-2010,2010,1
10176,400572,21450,Amazon,01-05-2012,2012,1
10177,400573,21455,Amazon,03-04-2013,2013,1
10178,400574,21456,Amazon,07-08-2012,2012,1
10179,400575,22222,Amazon,04-03-2011,2011,1
10180,400576,22229,Amazon,04-12-2016,2016,1
10181,400577,22232,Amazon,02-01-2012,2012,1
10182,400578,12237,Flipkart,06-05-2011,2011,1
10183,400579,22249,Snapdeal,05-05-2016,2016,1
10184,400580,22253,Snapdeal,09-05-2014,2014,1
10185,400581,22256,Snapdeal,11-05-2015,2015,1
10186,400582,22260,Snapdeal,03-09-2010,2010,1
10187,400583,20512,Flipkart,01-05-2015,2015,1
10188,400584,20695,Flipkart,04-06-2011,2011,1
10189,400585,20826,Flipkart,08-08-2015,2015,1
10190,400586,20836,Snapdeal,04-07-2011,2011,1
10191,400587,20900,Snapdeal,02-11-2014,2014,1
10192,400588,20901,Snapdeal,02-04-2017,2017,1
10193,400589,20992,Snapdeal,07-02-2015,2015,1
10194,400590,21041,Snapdeal,11-04-2011,2011,1
10195,400591,21069,Snapdeal,01-10-2015,2015,1
10196,400592,21136,Snapdeal,08-12-2012,2012,1
10197,400593,21149,Snapdeal,06-01-2013,2013,1
10198,400594,21192,Snapdeal,02-08-2017,2017,1
10199,400595,21193,Snapdeal,06-11-2014,2014,1
10200,400596,21203,Snapdeal,08-05-2016,2016,1
10201,400597,21207,Snapdeal,06-06-2011,2011,3
10202,400598,21254,Snapdeal,08-01-2010,2010,3
10203,400599,21259,Snapdeal,03-06-2013,2013,3
10204,400600,21265,Snapdeal,02-04-2010,2010,3
10205,400601,21380,Amazon,08-11-2015,2015,3
10206,400602,21386,Amazon,05-01-2017,2017,3
10207,400603,21390,Amazon,12-07-2014,2014,3
10208,400604,21450,Snapdeal,05-02-2014,2014,3
10209,400605,21455,Snapdeal,02-06-2014,2014,3
10210,400606,21456,Snapdeal,01-12-2015,2015,3
10211,400607,22222,Flipkart,05-12-2011,2011,3
10212,400608,22229,Flipkart,06-11-2016,2016,3
10213,400609,22232,Flipkart,04-04-2017,2017,2
10214,400610,12237,Flipkart,10-08-2012,2012,2
10215,400611,22249,Flipkart,02-08-2014,2014,1
10216,400612,21193,Flipkart,12-12-2014,2014,1
10217,400613,21203,Flipkart,06-01-2010,2010,1
10218,400614,21207,Flipkart,07-12-2011,2011,1
10219,400615,21254,Flipkart,06-06-2014,2014,1
10220,400616,21259,Flipkart,10-07-2010,2010,2
10221,400617,21265,Snapdeal,01-12-2014,2014,2
10222,400618,21380,Snapdeal,03-12-2012,2012,2
10223,400619,20293,Snapdeal,07-09-2011,2011,2
10224,400620,20502,Amazon,06-06-2010,2010,2
10225,400621,20512,Amazon,04-02-2013,2013,2
10226,400622,20695,Amazon,05-02-2012,2012,2
10227,400623,20826,Amazon,10-03-2012,2012,2
10228,400624,20836,Amazon,04-01-2010,2010,2
10229,400625,20900,Amazon,11-09-2011,2011,2
10230,400626,20901,Amazon,12-01-2013,2013,1
10231,400627,20992,Amazon,03-12-2014,2014,1
10232,400628,21041,Flipkart,09-06-2014,2014,1
10233,400629,21069,Flipkart,11-02-2012,2012,1
10234,400630,21136,Snapdeal,10-12-2015,2015,1
10235,400631,21149,Amazon,07-08-2016,2016,1
10236,400632,21192,Snapdeal,11-07-2015,2015,1
10237,400633,21193,Snapdeal,02-11-2017,2017,1
10238,400634,21203,Snapdeal,10-05-2015,2015,1
10239,400635,21207,Snapdeal,07-12-2011,2011,2
10240,400636,21254,Amazon,06-08-2015,2015,1
10241,400637,21259,Amazon,12-07-2011,2011,2
10242,400638,21265,Amazon,01-04-2010,2010,3
10243,400639,21380,Amazon,08-12-2015,2015,3
10244,400640,21386,Amazon,04-04-2010,2010,3
10245,400641,21390,Amazon,03-02-2010,2010,4
10246,400642,21450,Amazon,07-03-2014,2014,1
10247,400643,21455,Amazon,02-10-2013,2013,2
10248,400644,21456,Amazon,04-11-2014,2014,1
10249,400645,22222,Amazon,02-10-2010,2010,1
10250,400646,22229,Amazon,09-03-2013,2013,1
10251,400647,22232,Amazon,05-10-2016,2016,1
10252,400648,12237,Amazon,09-10-2015,2015,1
10253,400649,22249,Flipkart,08-10-2015,2015,1
10254,400650,22253,Snapdeal,03-12-2013,2013,1
10255,400651,22256,Snapdeal,03-07-2014,2014,2
10256,400652,22260,Snapdeal,02-11-2016,2016,2
10257,400653,20512,Snapdeal,08-10-2014,2014,1
10258,400654,20695,Flipkart,09-11-2010,2010,1
10259,400655,20826,Flipkart,12-06-2016,2016,1
10260,400656,20836,Flipkart,08-11-2013,2013,1
10261,400657,20900,Snapdeal,11-12-2012,2012,1
10262,400658,20901,Snapdeal,03-03-2011,2011,1
10263,400659,20992,Snapdeal,06-06-2017,2017,3
10264,400660,21041,Snapdeal,11-06-2016,2016,4
10265,400661,21069,Snapdeal,01-08-2013,2013,2
10266,400662,21136,Snapdeal,01-09-2013,2013,1
10267,400663,21149,Snapdeal,06-05-2015,2015,2
10268,400664,21192,Snapdeal,10-03-2015,2015,3
10269,400665,21193,Snapdeal,09-08-2011,2011,4
10270,400666,21203,Snapdeal,06-03-2017,2017,1
10271,400667,21207,Snapdeal,03-06-2013,2013,1
10272,400668,21254,Snapdeal,10-07-2015,2015,1
10273,400669,21259,Snapdeal,04-02-2016,2016,1
10274,400670,21265,Snapdeal,08-01-2015,2015,1
10275,400671,21380,Snapdeal,12-03-2010,2010,1
10276,400672,21386,Amazon,12-03-2015,2015,1
10277,400673,21390,Amazon,07-11-2017,2017,1
10278,400674,21450,Amazon,07-11-2011,2011,1
10279,400675,21455,Snapdeal,08-07-2013,2013,1
10280,400676,21456,Snapdeal,07-03-2017,2017,1
10281,400677,22222,Snapdeal,01-11-2011,2011,1
10282,400678,22229,Flipkart,01-12-2016,2016,1
10283,400679,22232,Flipkart,10-01-2016,2016,1
10284,400680,12237,Flipkart,08-08-2012,2012,1
10285,400681,22249,Flipkart,06-12-2017,2017,1
10286,400682,21193,Flipkart,05-08-2014,2014,1
10287,400683,21203,Flipkart,11-05-2011,2011,1
10288,400684,21207,Flipkart,09-07-2012,2012,1
10289,400685,21254,Flipkart,12-08-2013,2013,1
10290,400686,21259,Flipkart,06-10-2015,2015,1
10291,400687,21265,Flipkart,01-12-2016,2016,1
10292,400688,21380,Snapdeal,01-04-2011,2011,1
10294,400689,21386,Snapdeal,09-06-2013,2013,1
10295,400690,21390,Snapdeal,11-11-2012,2012,1
10296,400691,21450,Amazon,04-09-2015,2015,1
10297,400692,21455,Amazon,03-03-2010,2010,1
10298,400693,21456,Amazon,01-09-2016,2016,1
10299,400694,22222,Amazon,11-11-2016,2016,1
10300,400695,22229,Amazon,07-03-2015,2015,1
10301,400696,22232,Amazon,09-01-2010,2010,1
10302,400697,21193,Amazon,01-03-2014,2014,1
10303,400698,21203,Amazon,01-01-2016,2016,1
10304,400699,21207,Flipkart,11-03-2013,2013,1
10305,400700,21254,Flipkart,03-03-2017,2017,1
10306,400701,21259,Snapdeal,05-11-2010,2010,1
10307,400702,21265,Amazon,07-08-2014,2014,1
10308,400703,21380,Snapdeal,07-11-2016,2016,1
10309,400704,21386,Snapdeal,01-09-2017,2017,1
10310,400705,21390,Snapdeal,03-08-2014,2014,1
10311,400706,21450,Snapdeal,03-08-2016,2016,1
10312,400707,21455,Amazon,11-02-2015,2015,1
10313,400708,21456,Amazon,07-09-2014,2014,1
10314,400709,22222,Amazon,11-09-2015,2015,3
10315,400710,22229,Amazon,08-02-2016,2016,3
10317,400711,22232,Amazon,08-09-2010,2010,3
10318,400712,12237,Amazon,03-10-2014,2014,3
10319,400713,22249,Amazon,01-02-2010,2010,3
10320,400714,22253,Amazon,04-09-2015,2015,3
10321,400715,22256,Amazon,09-07-2011,2011,3
10322,400716,22260,Amazon,07-08-2017,2017,3
10323,400717,20512,Amazon,07-07-2016,2016,3
10324,400718,20695,Amazon,02-11-2014,2014,3
10325,400719,20826,Amazon,11-04-2015,2015,3
10326,400720,20836,Flipkart,12-08-2016,2016,3
10327,400721,20900,Snapdeal,02-09-2011,2011,2
10328,400722,20901,Snapdeal,07-09-2013,2013,2
10329,400723,20992,Snapdeal,03-08-2011,2011,1
10330,400724,21041,Snapdeal,02-06-2011,2011,1
10331,400725,21069,Flipkart,02-01-2011,2011,1
10332,400726,21136,Flipkart,12-07-2016,2016,1
10333,400727,21149,Flipkart,10-02-2012,2012,1
10334,400728,21192,Snapdeal,03-12-2010,2010,2
10335,400729,21193,Snapdeal,05-06-2014,2014,2
10336,400730,21203,Snapdeal,04-06-2014,2014,2
10337,400731,21207,Snapdeal,03-02-2011,2011,2
10338,400732,21254,Snapdeal,06-03-2013,2013,2
10339,400733,21259,Snapdeal,05-06-2013,2013,2
10340,400734,21265,Snapdeal,02-09-2015,2015,2
10341,400735,21380,Snapdeal,07-03-2011,2011,2
10342,400736,21386,Snapdeal,11-10-2012,2012,2
10343,400737,21390,Snapdeal,09-06-2016,2016,2
10344,400738,21450,Snapdeal,07-02-2012,2012,1
10345,400739,21455,Snapdeal,06-08-2010,2010,1
10346,400740,21456,Snapdeal,11-07-2014,2014,1
10347,400741,22222,Snapdeal,09-12-2014,2014,1
10348,400742,22229,Snapdeal,10-12-2011,2011,1
10349,400743,22232,Amazon,08-12-2012,2012,1
10350,400744,12237,Amazon,03-07-2011,2011,1
10351,400745,22249,Amazon,05-01-2014,2014,1
10352,400746,21193,Snapdeal,11-08-2010,2010,1
10353,400747,21203,Snapdeal,04-08-2016,2016,2
10354,400748,21207,Snapdeal,10-02-2010,2010,1
10355,400749,21254,Flipkart,01-10-2013,2013,2
10356,400750,20901,Flipkart,11-03-2010,2010,3
10357,400751,20992,Flipkart,02-12-2013,2013,3
10358,400752,21041,Flipkart,01-12-2015,2015,3
10359,400753,21069,Flipkart,01-10-2015,2015,4
10360,400754,21136,Flipkart,12-11-2011,2011,1
10361,400755,21149,Flipkart,02-11-2014,2014,2
10362,400756,21192,Flipkart,06-11-2010,2010,1
10363,400757,21193,Flipkart,07-07-2013,2013,1
10364,400758,21203,Flipkart,08-07-2010,2010,1
10365,400759,21207,Snapdeal,11-08-2014,2014,1
10366,400760,21254,Snapdeal,02-06-2017,2017,1
10367,400761,21259,Snapdeal,01-04-2013,2013,1
10368,400762,21265,Amazon,09-11-2011,2011,1
10369,400763,21380,Amazon,06-11-2013,2013,2
10370,400764,21386,Amazon,04-06-2013,2013,2
10371,400765,21390,Amazon,09-04-2016,2016,1
10372,400766,21450,Amazon,07-12-2012,2012,1
10373,400767,21455,Amazon,05-05-2010,2010,1
10374,400768,21456,Amazon,01-01-2013,2013,1
10375,400769,22222,Amazon,02-08-2013,2013,1
10376,400770,22229,Flipkart,03-03-2017,2017,1
10377,400771,22232,Flipkart,03-03-2010,2010,3
10378,400772,12237,Snapdeal,08-11-2012,2012,4
10379,400773,22249,Amazon,03-10-2013,2013,2
10380,400774,22253,Snapdeal,01-04-2013,2013,1
10381,400775,22256,Snapdeal,04-04-2014,2014,2
10382,400776,22260,Snapdeal,05-03-2012,2012,3
10383,400777,20512,Snapdeal,11-11-2015,2015,4
10384,400778,20695,Amazon,06-08-2012,2012,1
10385,400779,20826,Amazon,04-10-2014,2014,1
10386,400780,20836,Amazon,07-02-2010,2010,1
10387,400781,20900,Amazon,10-08-2012,2012,1
10388,400782,20901,Amazon,04-05-2012,2012,1
10389,400783,20992,Amazon,05-10-2016,2016,1
10390,400784,21041,Amazon,09-07-2015,2015,1
10391,400785,21069,Amazon,01-12-2016,2016,1
10392,400786,21136,Amazon,06-12-2017,2017,1
10393,400787,21149,Amazon,02-12-2012,2012,1
10394,400788,21192,Amazon,02-01-2016,2016,1
10395,400789,21193,Amazon,03-05-2015,2015,1
10396,400790,21203,Amazon,11-09-2016,2016,1
10397,400791,21207,Flipkart,12-11-2014,2014,1
10398,400792,21254,Snapdeal,09-01-2012,2012,1
10399,400793,21259,Snapdeal,12-10-2016,2016,1
10400,400794,21265,Snapdeal,02-05-2016,2016,1
10401,400795,21380,Snapdeal,09-05-2014,2014,1
10402,400796,21386,Flipkart,07-06-2014,2014,1
10403,400797,21390,Flipkart,08-11-2011,2011,1
10404,400798,21450,Flipkart,04-10-2010,2010,1
10405,400799,20900,Snapdeal,03-01-2016,2016,1
10406,400800,20901,Snapdeal,12-12-2014,2014,1
10407,400801,20992,Snapdeal,01-05-2016,2016,1
10408,400802,21041,Snapdeal,07-03-2016,2016,1
10409,400803,21069,Snapdeal,05-05-2010,2010,1
10410,400804,21136,Snapdeal,03-07-2016,2016,1
10411,400805,21149,Snapdeal,06-11-2014,2014,1
10412,400806,21192,Snapdeal,02-10-2015,2015,1
10413,400807,21193,Snapdeal,12-07-2015,2015,1
10414,400808,21203,Snapdeal,06-07-2013,2013,1
10415,400809,21207,Snapdeal,11-03-2013,2013,1
10416,400810,21254,Snapdeal,08-12-2010,2010,1
10417,400811,21259,Snapdeal,02-05-2014,2014,1
10418,400812,21265,Snapdeal,10-07-2015,2015,1
10419,400813,21380,Snapdeal,01-02-2014,2014,1
10420,400814,21386,Amazon,06-07-2013,2013,1
10421,400815,21390,Amazon,09-04-2014,2014,1
10422,400816,21450,Amazon,08-05-2014,2014,1
10423,400817,21455,Snapdeal,11-09-2016,2016,1
10424,400818,21456,Snapdeal,08-02-2010,2010,1
10425,400819,22222,Snapdeal,01-11-2011,2011,1
10426,400820,22229,Flipkart,03-08-2010,2010,1
10428,400821,22232,Flipkart,08-01-2012,2012,3
10429,400822,12237,Flipkart,05-04-2012,2012,3
10430,400823,22249,Flipkart,07-11-2016,2016,3
10431,400824,22253,Flipkart,10-08-2012,2012,3
10432,400825,22256,Flipkart,10-09-2011,2011,3
10433,400826,22260,Flipkart,12-04-2013,2013,3
10435,400827,20512,Flipkart,11-05-2016,2016,3
10436,400828,20695,Flipkart,03-06-2015,2015,3
10437,400829,20826,Flipkart,06-10-2011,2011,3
10438,400830,20836,Snapdeal,06-08-2010,2010,3
10439,400831,20900,Snapdeal,03-08-2012,2012,3
10440,400832,20901,Snapdeal,06-09-2012,2012,3
10441,400833,20992,Amazon,12-07-2015,2015,2
10442,400834,21041,Amazon,09-07-2014,2014,2
10443,400835,21069,Amazon,10-09-2012,2012,1
10444,400836,21136,Amazon,12-06-2016,2016,1
10445,400837,21149,Amazon,01-06-2011,2011,1
10446,400838,21192,Amazon,02-10-2011,2011,1
10447,400839,21193,Amazon,03-01-2012,2012,1
10448,400840,21203,Amazon,06-10-2011,2011,2
10449,400841,21207,Flipkart,03-09-2013,2013,2
10450,400842,21254,Flipkart,06-01-2015,2015,2
10451,400843,21259,Snapdeal,02-02-2013,2013,2
10452,400844,21265,Amazon,01-07-2014,2014,2
10453,400845,21380,Snapdeal,07-07-2012,2012,2
10454,400846,21386,Snapdeal,02-03-2012,2012,2
10455,400847,21390,Snapdeal,01-12-2013,2013,2
10456,400848,21450,Snapdeal,05-10-2016,2016,2
10458,400849,21455,Amazon,09-11-2016,2016,2
10459,400850,21456,Amazon,02-12-2017,2017,1
10460,400851,22222,Amazon,06-06-2014,2014,1
10461,400852,22229,Amazon,08-03-2012,2012,1
10462,400853,22232,Amazon,07-06-2016,2016,1
10463,400854,12237,Amazon,07-01-2015,2015,1
10464,400855,22249,Amazon,05-07-2016,2016,1
10465,400856,21193,Amazon,07-12-2011,2011,1
10466,400857,21203,Amazon,02-11-2012,2012,1
10467,400858,21207,Amazon,04-10-2015,2015,1
10468,400859,21254,Amazon,03-05-2017,2017,2
10469,400860,21259,Amazon,12-02-2011,2011,1
10470,400861,21265,Amazon,01-01-2013,2013,2
10471,400862,21380,Flipkart,07-11-2015,2015,3
10472,400863,21386,Snapdeal,07-06-2014,2014,3
10473,400864,21390,Snapdeal,02-02-2016,2016,3
10474,400865,21450,Snapdeal,11-05-2015,2015,4
10475,400866,21455,Snapdeal,10-04-2012,2012,1
10476,400867,21456,Flipkart,02-08-2017,2017,2
10477,400868,22222,Flipkart,10-12-2011,2011,1
10478,400869,22229,Flipkart,11-12-2015,2015,1
10479,400870,22232,Snapdeal,02-10-2016,2016,1
10480,400871,21193,Snapdeal,04-11-2010,2010,1
10481,400872,21203,Snapdeal,05-10-2010,2010,1
10482,400873,21207,Snapdeal,04-09-2014,2014,1
10483,400874,21254,Snapdeal,02-06-2010,2010,1
10484,400875,21259,Snapdeal,12-09-2014,2014,1
10485,400876,21265,Snapdeal,09-03-2011,2011,2
10486,400877,21380,Snapdeal,05-11-2013,2013,2
10487,400878,21386,Snapdeal,12-12-2010,2010,1
10488,400879,21390,Snapdeal,03-06-2014,2014,1
10489,400880,21450,Snapdeal,02-12-2012,2012,1
10490,400881,21455,Snapdeal,02-02-2011,2011,1
10491,400882,21456,Snapdeal,10-12-2015,2015,1
10492,400883,22222,Snapdeal,02-07-2010,2010,1
10493,400884,22229,Snapdeal,08-04-2013,2013,3
10494,400885,22232,Amazon,02-09-2013,2013,4
10495,400886,12237,Amazon,09-11-2016,2016,2
10496,400887,22249,Amazon,12-06-2012,2012,1
10497,400888,22253,Snapdeal,11-11-2010,2010,2
10498,400889,22256,Snapdeal,05-05-2011,2011,3
10499,400890,22260,Snapdeal,03-11-2014,2014,4
10500,400891,20512,Flipkart,07-09-2011,2011,1
10501,400892,20695,Flipkart,01-04-2013,2013,1
10503,400893,20826,Flipkart,01-10-2015,2015,1
10504,400894,20836,Flipkart,03-05-2013,2013,1
10505,400895,20900,Flipkart,12-09-2010,2010,1
10507,400896,20901,Flipkart,11-11-2012,2012,1
10508,400897,20992,Flipkart,05-11-2010,2010,1
10509,400898,21041,Flipkart,08-02-2014,2014,1
10510,400899,21069,Flipkart,07-12-2010,2010,1
10513,400900,21136,Flipkart,11-09-2014,2014,1
10514,400901,21149,Snapdeal,09-06-2016,2016,1
10515,400902,21192,Snapdeal,06-12-2013,2013,1
10516,400903,21193,Snapdeal,02-03-2013,2013,1
10517,400904,21203,Amazon,05-09-2015,2015,1
10518,400905,21207,Amazon,03-04-2010,2010,1
10519,400906,21254,Amazon,09-01-2013,2013,1
10520,400907,21259,Amazon,07-07-2014,2014,1
10522,400908,21265,Amazon,09-07-2012,2012,1
10523,400909,21380,Amazon,12-03-2014,2014,1
10524,400910,21386,Amazon,09-12-2015,2015,1
10525,400911,21390,Amazon,11-02-2015,2015,1
10526,400912,21450,Flipkart,04-06-2015,2015,1
10527,400913,21455,Flipkart,01-04-2010,2010,1
10528,400914,21456,Snapdeal,02-12-2017,2017,1
10529,400915,22222,Amazon,12-10-2011,2011,1
10530,400916,22229,Snapdeal,01-05-2015,2015,1
10531,400917,22232,Snapdeal,06-08-2016,2016,1
10532,400918,12237,Snapdeal,03-06-2011,2011,1
10533,400919,22249,Snapdeal,07-01-2017,2017,1
10534,400920,21193,Amazon,07-10-2011,2011,1
10536,400921,21203,Amazon,02-07-2015,2015,1
10537,400922,21207,Amazon,07-07-2015,2015,1
10538,400923,21254,Amazon,03-10-2014,2014,1
10539,400924,20901,Amazon,05-12-2017,2017,1
10540,400925,20992,Amazon,04-10-2015,2015,1
10541,400926,21041,Amazon,03-09-2011,2011,1
10542,400927,21069,Amazon,11-06-2013,2013,1
10543,400928,21136,Amazon,06-09-2012,2012,1
10544,400929,21149,Amazon,03-01-2013,2013,1
10545,400930,21192,Amazon,09-01-2013,2013,1
10546,400931,21193,Amazon,07-11-2016,2016,1
10547,400932,21203,Amazon,05-06-2012,2012,1
10548,400933,21207,Flipkart,03-07-2012,2012,1
10549,400934,21254,Snapdeal,09-10-2015,2015,3
10550,400935,21259,Snapdeal,07-09-2017,2017,3
10551,400936,21265,Snapdeal,09-05-2013,2013,3
10552,400937,21380,Snapdeal,05-10-2017,2017,3
